category,case_count
藥物不良反應或藥物代謝之基因檢測,35
病原體鑑定、毒力及抗藥性基因檢測,51
遺傳代謝與罕見疾病之基因檢測,235
癌症篩檢、診斷、治療及預後之基因檢測,462
產前及新生兒染色體與基因變異檢測,1315
抗癌瘤藥物之伴隨檢測,56
其他藥物伴隨基因檢測（於藥物仿單中，明載於用藥前應執行檢測）,10
