city,case_count,institution_count
臺北市,1201,225
新北市,209,65
桃園市,62,19
臺中市,130,25
臺南市,291,51
高雄市,70,22
基隆市,0,0
新竹市,11,2
嘉義市,14,3
新竹縣,70,46
苗栗縣,3,1
彰化縣,33,8
南投縣,3,1
雲林縣,12,2
嘉義縣,0,0
屏東縣,16,4
宜蘭縣,8,2
花蓮縣,2,2
臺東縣,4,1
澎湖縣,0,0
金門縣,0,0
連江縣,0,0
