institution,case_count
長庚醫療財團法人嘉義長庚紀念醫院,3
長庚醫療財團法人林口長庚紀念醫院,3
國軍左營總醫院附設民眾診療服務處,1
天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,1
高雄榮民總醫院,20
安泰醫療社團法人安泰醫院,3
義大醫療財團法人義大醫院,5
義大醫療財團法人義大癌治療醫院,4
義大醫療財團法人義大大昌醫院,4
博愛蕙馨醫院,7
樂生婦幼醫院,6
財團法人私立高雄醫學大學附設中和紀念醫院,6
新正薪醫院,5
小港安生婦產科診所,5
張榮州婦產科診所,4
阮綜合醫療社團法人阮綜合醫院,7
鈞安婦幼聯合醫院,14
容婦產科診所,30
柏仁醫院,3
衛生福利部彰化醫院,2
佛教慈濟醫療財團法人花蓮慈濟醫院,4
國立臺灣大學醫學院附設醫院,25
高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),12
新板婦產科診所,15
松仁婦產科診所,7
基督復臨安息日會醫療財團法人臺安醫院,9
國立成功大學醫學院附設醫院,3
臺灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,4
新光醫療財團法人新光吳火獅紀念醫院,6
國立臺灣大學醫學院附設醫院雲林分院,13
衛生福利部臺北醫院,9
光田醫療社團法人光田綜合醫院,27
國軍臺中總醫院附設民眾診療服務處,7
國立陽明交通大學附設醫院,4
醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,3
臺北市立聯合醫院,8
衛生福利部桃園醫院,3
國軍桃園總醫院附設民眾診療服務處,13
臺北市立萬芳醫院-委託臺北醫學大學辦理,22
林儀文婦產科診所,4
輔仁大學學校財團法人輔仁大學附設醫院,9
基隆生基婦產科診所,12
彰化基督教醫療財團法人彰化基督教醫院,5
天主教靈醫會醫療財團法人羅東聖母醫院,12
秀傳醫療財團法人彰濱秀傳紀念醫院,13
衛生福利部屏東醫院,9
新北市立聯合醫院,1
行天宮醫療志業醫療財團法人恩主公醫院,13
佛教慈濟醫療財團法人大林慈濟醫院,11
林新醫療社團法人烏日林新醫院,4
潘如瑾婦產科診所,8
鍾婦產科診所,4
好孕診所,22
三軍總醫院附設民眾診療服務處,10
金郁婦產科診所,8
林新醫療社團法人林新醫院,4
遠祺婦產科診所,4
日康診所,8
愛群婦產科診所,26
衛生福利部南投醫院,6
臺北協育診所,9
黃彥華婦產科診所,8
茂盛板橋生殖診所,4
醫療財團法人辜公亮基金會和信治癌中心醫院,2
臺灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,15
臺灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,11
元程婦產科診所,8
張婦產科診所,2
天給婦產科診所,4
惠生保安婦幼診所,6
愛麗生婦產科診所,8
俊亨婦產科診所,5
天主教耕莘醫療財團法人永和耕莘醫院,3
佛教慈濟醫療財團法人臺中慈濟醫院,3
茂盛醫院,1
中國醫藥大學附設醫院,4
臺安醫院,12
衛生福利部豐原醫院,11
新惠生醫院,5
呂其嘉婦產科診所,5
黃迎凱婦產科診所,12
慈銘婦產科診所,21
喜月婦產科診所,3
新彗婦產科診所,4
家珊診所,5
媽媽咪亞診所,8
新亞東婦產科醫院,10
博生婦產科診所,12
許煥澤婦產科診所,3
正馨婦產科診所,6
童綜合醫療社團法人童綜合醫院,21
大新婦產科診所,20
澄清綜合醫院中港分院,9
臻嬡婦產科診所,2
劉忠俊婦產科診所,13
臺中榮民總醫院,4
國泰醫療財團法人國泰綜合醫院,5
施英富婦產科診所,11
寶建醫療社團法人寶建醫院,14
奇美醫療財團法人奇美醫院,5
美村婦產科診所,15
醫療財團法人羅許基金會羅東博愛醫院,4
生生不息婦產科診所,4
江美麗婦產科診所,6
臺灣基督長老教會新樓醫療財團法人臺南新樓醫院,8
佑昇診所,13
王家瑋婦產科診所,14
屏基醫療財團法人屏東基督教醫院,15
衛生福利部雙和醫院(委託臺北醫學大學興建經營),27
張帆婦產科診所,13
臺北醫學大學附設醫院,16
為恭醫療財團法人為恭紀念醫院,7
三軍總醫院松山分院附設民眾診療服務處,3
忠孝世賓婦產科診所,25
枋寮醫療社團法人枋寮醫院,9
桃園宏其生基診所,12
生基婦產科診所,10
臺南市立安南醫院-委託中國醫藥大學興建經營,15
東元醫療社團法人艾微芙診所,13
東元醫療社團法人東元綜合醫院,12
中國醫藥大學新竹附設醫院,8
安安婦幼診所,10
臺南市立醫院(委託秀傳醫療社團法人經營),15
黃昭彰婦產科診所,7
佑生婦產科診所,5
葉能貴婦產科診所,6
吳峻賢婦產科診所,4
璟馨婦幼醫院,7
詠馨婦產科診所,6
方世錝婦產科診所,6
馬博榮婦產專科診所,4
郭綜合醫院,9
臺安診所,2
鄭婦產科診所,2
大安婦幼醫院,6
柯助伊婦產科診所,2
臺灣基督教門諾會醫療財團法人門諾醫院,14
馨寧好診所,9
婦兒安診所,8
金禾美診所,14
天祥醫院,4
天成醫療社團法人天晟醫院,4
李綜合醫療社團法人大甲李綜合醫院,19
