city,case_count,institution_count
臺北市,1126,217
新北市,194,59
桃園市,37,15
臺中市,123,22
臺南市,296,54
高雄市,64,19
基隆市,0,0
新竹市,11,2
嘉義市,14,3
新竹縣,70,46
苗栗縣,3,1
彰化縣,30,8
南投縣,3,1
雲林縣,11,2
嘉義縣,0,0
屏東縣,16,4
宜蘭縣,8,2
花蓮縣,2,2
臺東縣,4,1
澎湖縣,0,0
金門縣,0,0
連江縣,0,0
