city,case_count,institution_count
臺北市,1488,228
新北市,939,68
桃園市,532,43
臺中市,1071,77
臺南市,701,37
高雄市,826,65
基隆市,82,8
新竹市,184,14
嘉義市,96,11
新竹縣,237,12
苗栗縣,126,10
彰化縣,264,22
南投縣,61,6
雲林縣,167,13
嘉義縣,28,3
屏東縣,354,20
宜蘭縣,73,6
花蓮縣,51,8
臺東縣,34,4
澎湖縣,43,4
金門縣,27,4
連江縣,22,1
