city,case_count,institution_count
臺北市,2388,343
新北市,853,109
桃園市,497,49
臺中市,959,78
臺南市,906,74
高雄市,690,67
基隆市,62,8
新竹市,197,14
嘉義市,91,10
新竹縣,270,54
苗栗縣,119,9
彰化縣,257,24
南投縣,29,6
雲林縣,160,14
嘉義縣,18,3
屏東縣,279,17
宜蘭縣,64,6
花蓮縣,37,8
臺東縣,35,4
澎湖縣,43,4
金門縣,5,2
連江縣,6,1
