panel_size_group,count,min_twd,p25_twd,median_twd,p75_twd,max_twd
large_panel,149,23000.0,25000.0,28000.0,46000.0,140000.0
medium_panel,110,10000.5,25005.38,28000.0,60000.0,151515.5
single_gene,596,0.0,887.5,2500.0,4000.0,75000.0
small_panel,199,5000.0,35000.0,42000.0,60000.0,156000.0
unknown,5596,0.0,4000.0,18000.0,28880.0,741000.0
very_large_panel,24,40000.5,80000.0,125000.0,130000.0,160000.0
very_small_panel,569,300.0,2200.0,6500.0,23800.0,130000.0
